"","x"
"146","TCGA-DX-A8BQ-01A-11R-A37L-07"
"147","TCGA-DX-AB2W-01A-11R-A39D-07"
"148","TCGA-UE-A6QT-01A-12R-A32Q-07"
"149","TCGA-3B-A9I1-01A-11R-A39D-07"
"150","TCGA-DX-A3LW-01A-21R-A21T-07"
"151","TCGA-QQ-A8VH-01A-11R-A37L-07"
"152","TCGA-X6-A8C3-01A-11R-A36F-07"
"153","TCGA-X6-A7WD-01A-21R-A355-07"
"154","TCGA-DX-A48N-01A-11R-A30C-07"
"155","TCGA-DX-A23U-01A-11R-A26T-07"
"156","TCGA-DX-A8BO-01A-11R-A41I-07"
"157","TCGA-DX-AB3A-01A-11R-A41I-07"
"158","TCGA-DX-A7EF-01A-11R-A33J-07"
"159","TCGA-DX-A1KZ-01A-11R-A24X-07"
"160","TCGA-DX-AB37-01A-11R-A41I-07"
"161","TCGA-SI-AA8B-01A-11R-A38C-07"
"162","TCGA-DX-AB2F-01A-11R-A38C-07"
"163","TCGA-WK-A8XO-01A-11R-A37L-07"
"164","TCGA-DX-A3M1-01A-11R-A22K-07"
"165","TCGA-QQ-A8VB-01A-11R-A37L-07"
"166","TCGA-DX-A8BH-01A-11R-A37L-07"
"167","TCGA-DX-A6BF-01A-11R-A30C-07"
"168","TCGA-DX-A3LS-01A-11R-A21T-07"
"169","TCGA-LI-A67I-01A-31R-A30C-07"
"170","TCGA-DX-A6BE-01A-41R-A32Q-07"
"171","TCGA-DX-A3U9-01A-11R-A30C-07"
"172","TCGA-FX-A3RE-01A-11R-A22K-07"
"173","TCGA-DX-AB35-01A-21R-A41I-07"
"174","TCGA-DX-AB2Q-01A-11R-A39D-07"
"175","TCGA-DX-AATS-01A-12R-A41I-07"
"176","TCGA-K1-A6RV-01A-11R-A32Q-07"
"177","TCGA-QQ-A8VF-01A-11R-A37L-07"
"178","TCGA-IE-A4EI-01A-11R-A24X-07"
"179","TCGA-DX-A7EU-01A-22R-A36F-07"
"180","TCGA-3B-A9HQ-01A-11R-A38C-07"
"181","TCGA-HB-A2OT-01A-11R-A21T-07"
"182","TCGA-DX-A6YQ-01A-12R-A33J-07"
"183","TCGA-DX-A8BG-01A-12R-A41I-07"
"184","TCGA-IF-A4AK-01A-21R-A24X-07"
"185","TCGA-DX-A1KW-01A-22R-A24X-07"
"186","TCGA-DX-A3U7-01A-11R-A29R-07"
"187","TCGA-3B-A9HO-01A-11R-A38C-07"
"188","TCGA-SG-A849-01A-11R-A355-07"
"189","TCGA-DX-A6Z0-01A-13R-A36F-07"
"190","TCGA-KD-A5QT-01A-11R-A27Q-07"
"191","TCGA-DX-A48K-01A-11R-A30C-07"
"192","TCGA-3R-A8YX-01A-11R-A37L-07"
"193","TCGA-DX-A1L2-01A-22R-A24X-07"
"194","TCGA-DX-AB2O-01A-12R-A39D-07"
"195","TCGA-3B-A9HL-01A-11R-A38C-07"
"196","TCGA-DX-A8BN-01A-11R-A37L-07"
"197","TCGA-K1-A6RU-01A-11R-A32Q-07"
"198","TCGA-DX-A8BZ-01A-11R-A37L-07"
"199","TCGA-DX-A3UF-01A-11R-A30C-07"
"200","TCGA-HS-A5N8-01A-11R-A26T-07"
"201","TCGA-3B-A9HI-01A-11R-A38C-07"
"202","TCGA-UE-A6QU-01A-12R-A32Q-07"
"203","TCGA-DX-A1KY-01A-11R-A24X-07"
"204","TCGA-DX-A6BB-01A-12R-A32Q-07"
"205","TCGA-3B-A9HZ-01A-11R-A39D-07"
